ID,PARK_AREA_ACRES,CTA_BUS_STATIONS,CTA_TRAIN_STATIONS,BIKE_ROUTES,Limited_Business_License,Retail_Food_Establishment,CAPACITY,PER_CAPITA_INCOME,POPULATION_SQ_MILE,CBD,MINORITY,EDU,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATIO,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,GAMBLING,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,trips,i
120,1003.86368,141,5,14.348896,53557,23375,15,22694,16445.76278,0,0.936788875,0.757269279,0,4.7361984484,5.8833223885,4.6249728133,0.6931471806,2.4849066498,5.4116460519,4.5325994932,5.1416635565,0.6931471806,0.6931471806,0,2.3978952728,0.6931471806,0,1.7917594692,4.5747109785,4.276666119,0.6931471806,0,3.0445224377,0,4.4067192473,1.3862943611,0,2.5649493575,5.2040066871,2.7080502011,1.3862943611,6.7262334024,2.1972245773,9.54987933,33
121,1467.03936,100,0,27.002493,13849,7622,15,22694,10133.27654,0,0.86875,0.781944444,0.6931471806,4.9558270576,5.910796644,5.0238805208,0,2.9444389792,5.6058020663,4.0430512678,5.6276211137,0,1.7917594692,0,1.0986122887,0,0,0,4.8283137373,3.5263605246,0,0,2.8903717579,0,5.062595033,0,0,2.8332133441,4.9767337424,2.3978952728,0.6931471806,6.8330317328,1.6094379124,8.6731707729,33
122,1006.52032,194,5,22.09855,42910,16021,15,16444,5400.545789,0,0.934782609,0.804347826,1.3862943611,4.9972122738,5.8464387751,3.2188758249,0,2.8903717579,5.1647859739,4.127134385,4.8040210447,0.6931471806,1.6094379124,0,0.6931471806,0,0,0,4.5951198501,4.3820266347,0,0.6931471806,2.6390573296,0,4.9767337424,0,0,2.9957322736,4.0943445622,2.0794415417,0.6931471806,6.4676987261,2.4849066498,9.0261771203,33
123,577.6352,162,3,21.543802,28744,15513,15,13785,22046.96989,0,0.63493841,0.704367301,0.6931471806,4.8520302639,5.8861040315,4.9628446303,0,2.4849066498,5.7868973814,4.2046926194,5.0498560072,0,0.6931471806,0,1.7917594692,1.0986122887,1.3862943611,2.1972245773,4.7874917428,4.1108738642,0.6931471806,0,3.2188758249,0,4.7621739348,0,0,2.6390573296,4.3694478525,1.6094379124,1.3862943611,6.717804695,2.4849066498,10.074242473,33
124,657.54432,152,4,11.109065,9011,5285,15,59077,27382.65112,0,0.897461424,0.570433051,2.4849066498,5.3752784077,6.1696107325,4.6913478822,0,2.302585093,5.96870756,3.6888794541,4.521788577,0,1.6094379124,0,1.7917594692,0.6931471806,1.0986122887,1.7917594692,4.8202815656,5.0172798368,0,0.6931471806,2.9444389792,0,5.0498560072,0,0,3.8286413965,3.9318256327,2.4849066498,0,5.9322451874,3.8286413965,8.4189186221,33
126,912.01472,160,3,20.861479,73950,31438,15,35787,9236.255714,0,0.18174727,0.772230889,1.0986122887,4.3174881135,5.4116460519,4.3438054219,0,2.5649493575,5.5333894887,4.127134385,5.7462031905,0,0,0,1.7917594692,0.6931471806,0.6931471806,2.5649493575,4.4308167988,3.4657359028,0,0.6931471806,1.3862943611,0,4.4773368145,0,0,2.8903717579,4.0253516907,2.0794415417,0,7.2442275156,1.3862943611,10.368667064,33
127,1098.576,159,5,27.200163,52361,32707,15,59077,26901.43828,0,0.17158545,0.840768703,0.6931471806,4.189654742,5.8493247799,5.2311086169,0,3.3322045102,5.8971538676,4.6151205168,5.4971682253,0,0,0,1.0986122887,0,0,3.4965075615,4.4998096703,3.8066624898,0,0,2.0794415417,0,4.3944491547,0,0,2.5649493575,4.8441870865,2.7725887222,0,7.1831117017,1.0986122887,10.163078745,33
128,956.62336,161,3,17.542423,42257,16690,15,35787,17601.37507,0,0.47047047,0.751751752,1.3862943611,4.5432947823,5.2678581591,5.7930136084,0,1.9459101491,5.6276211137,3.6635616461,5.0172798368,0,0.6931471806,0,0.6931471806,1.0986122887,0,0,5.081404365,2.9957322736,0,0.6931471806,2.1972245773,0,4.7095302013,1.3862943611,0,1.0986122887,4.4773368145,2.3978952728,1.3862943611,6.8308742346,1.3862943611,10.268963652,33
129,1077.4336,133,2,14.645654,19956,10470,15,33385,28008.49477,0,0.87026466,0.654385054,1.9459101491,5.252273428,6.3368257311,4.605170186,0,2.5649493575,5.8998973536,4.4998096703,4.605170186,0,2.0794415417,0,2.0794415417,1.0986122887,0,2.1972245773,4.8903491282,5.0751738152,0,0,2.7725887222,0,5.0238805208,0.6931471806,0,3.6109179126,4.1431347264,2.7725887222,0.6931471806,6.2989492469,3.3322045102,9.4934871756,33
130,986.57152,187,2,12.184549,30060,14040,15,37524,23006.8992,0,0.26914329,0.777103867,0.6931471806,4.9767337424,6.1984787165,5.9532433343,0,3.0445224377,6.2166061011,4.4773368145,5.3518581335,0,1.0986122887,0,2.1972245773,1.3862943611,0.6931471806,2.302585093,5.2729995586,4.0073331852,0,0.6931471806,2.5649493575,0,4.6634390941,0,0,2.7080502011,5.2311086169,2.6390573296,0.6931471806,7.554858521,1.9459101491,10.28390832,33
131,1373.344,128,7,21.957944,30688,16626,15,35911,21717.27436,0,0.215302491,0.78202847,1.0986122887,3.9512437186,4.836281907,5.1761497326,0,1.9459101491,5.3706380281,3.7612001157,5.2149357576,0,0,0,1.0986122887,0,1.3862943611,1.3862943611,4.262679877,2.8903717579,0,0,2.3978952728,0,4.189654742,0.6931471806,0,1.9459101491,4.127134385,1.0986122887,0,6.6515718736,1.6094379124,9.744491821,33
132,1068.8288,138,3,14.455146,31433,16389,15,39056,16445.76278,0,0.974245473,0.704627767,0.6931471806,4.7449321284,5.8888779583,4.7706846245,0.6931471806,2.7080502011,5.463831805,4.8751973232,4.7621739348,0.6931471806,0.6931471806,0,1.7917594692,0.6931471806,0,1.6094379124,4.8202815656,4.1108738642,0,0,2.6390573296,0,4.1431347264,0.6931471806,0,2.302585093,5.313205979,2.7080502011,0,6.5610306659,2.9444389792,8.320691571,33
134,1124.17088,186,10,29.00352,334089,92783,19,71551,19379.20097,0,0.500936914,0.670206121,0.6931471806,4.521788577,5.3798973535,4.4773368145,0,2.6390573296,5.4806389233,3.7135720667,5.8021183754,0,0,0,1.3862943611,0.6931471806,0.6931471806,1.0986122887,4.3694478525,2.9957322736,0,0,1.3862943611,0,4.5849674787,1.7917594692,0,2.302585093,4.0430512678,1.9459101491,0,7.204149292,0.6931471806,10.611892735,33
135,1174.57472,111,2,23.208767,42350,18122,11,71551,13821.9551,0,0.77840617,0.668380463,1.9459101491,4.189654742,5.0498560072,4.3820266347,0,2.3978952728,5.1647859739,3.5263605246,4.1431347264,0,1.0986122887,0,1.3862943611,0,0,1.3862943611,4.5108595065,3.6635616461,0,0,2.7725887222,0,4.1588830834,0.6931471806,0,2.4849066498,3.5263605246,1.6094379124,1.0986122887,5.5909869805,2.0794415417,8.2756310546,33
136,1064.2048,176,4,20.295888,60425,23374,15,37524,2747.630052,0,0.985211268,0.545774648,1.3862943611,5.2149357576,6.2785214242,4.7095302013,0.6931471806,2.7725887222,5.6347896032,4.8520302639,4.9126548857,1.3862943611,2.302585093,0.6931471806,2.1972245773,0.6931471806,0,1.9459101491,4.521788577,4.9272536852,0.6931471806,0.6931471806,2.8903717579,0,5.0998664278,1.3862943611,0,2.6390573296,4.2195077052,2.302585093,0,6.4473058625,2.7725887222,7.766416898,33
137,1095.94368,139,2,22.318943,95802,33751,15,60058,25421.14384,0,0.694444444,0.739026063,1.3862943611,4.6249728133,5.6869753563,4.5432947823,0.6931471806,2.7080502011,5.5490760849,3.6635616461,4.8903491282,0.6931471806,2.1972245773,0.6931471806,1.3862943611,0.6931471806,0,1.7917594692,4.4998096703,3.9512437186,0.6931471806,0.6931471806,3.1354942159,0,4.836281907,1.6094379124,0,2.3978952728,3.8501476017,1.3862943611,0,6.1527326947,2.302585093,9.3653763741,33
138,969.32032,209,7,15.452018,137812,44448,15,71551,34181.62651,0,0.940350877,0.652631579,1.0986122887,5.4764635519,6.4967749902,4.7449321284,0.6931471806,2.8332133441,6.118097198,5.7651911028,5.5529595849,1.0986122887,2.1972245773,0,3.0910424534,1.0986122887,1.9459101491,1.7917594692,4.7095302013,5.2832037287,0.6931471806,0.6931471806,3.1780538303,0.6931471806,5.1873858058,0,0,3.3322045102,4.5747109785,2.7080502011,1.3862943611,7.1891677384,3.7841896339,9.6752058234,33
140,1067.5488,285,9,23.957802,256955,77508,19,35787,65451.11989,1,0.271689498,0.808980213,1.9459101491,6.0088131854,7.1057861295,5.1647859739,1.6094379124,4.1588830834,6.1984787165,5.843544417,7.3870902357,0,1.0986122887,0,3.36729583,1.3862943611,0.6931471806,3.6375861597,5.257495372,5.3752784077,1.3862943611,0.6931471806,2.3978952728,0.6931471806,5.5872486584,3.1780538303,0,4.0430512678,5.6312117818,3.1780538303,2.0794415417,8.5625488931,2.9957322736,10.734917321,33
141,900.15104,154,4,23.38795,69174,31451,23,71551,9236.255714,0,0.127819549,0.859649123,0.6931471806,4.2195077052,5.2149357576,4.2904594411,0,2.4849066498,5.5214609179,3.9512437186,5.5872486584,0,0,0,1.0986122887,0,1.0986122887,1.9459101491,4.248495242,2.4849066498,0.6931471806,0.6931471806,1.6094379124,0,4.1588830834,0,0,2.5649493575,4.0604430105,2.3978952728,0,7.3238305662,2.0794415417,10.90098954,33
143,963.74464,151,4,27.016482,54631,30299,15,43198,8947.186119,0,0.208812261,0.779693487,0,3.8286413965,5.4071717715,4.7706846245,0,2.8332133441,5.7071102647,3.8918202981,5.4971682253,0,0,0,1.3862943611,0,1.0986122887,2.7725887222,4.6913478822,2.3978952728,0,0,1.6094379124,0.6931471806,4.0775374439,0,0,2.0794415417,4.1431347264,2.302585093,0,7.1436176027,1.9459101491,10.458205652,33
144,963.58848,170,5,30.263751,57129,33107,15,31908,15190.94836,0,0.214908035,0.801548887,0.6931471806,4.3174881135,5.6276211137,5.0434251169,0,2.8903717579,5.7899601709,4.4067192473,5.5012582105,0,0,0,1.0986122887,0,0.6931471806,2.8903717579,4.6634390941,3.1354942159,0,0,2.1972245773,0.6931471806,4.2195077052,0,0,2.4849066498,4.605170186,2.0794415417,0,7.1066061377,2.0794415417,10.444095255,33
146,1193.7952,162,6,23.036536,61395,22668,11,44689,19379.20097,0,0.427644139,0.889652539,0.6931471806,4.7095302013,5.6094717952,4.5747109785,0.6931471806,2.3978952728,5.342334252,3.9702919136,5.5683445038,0.6931471806,0.6931471806,0,1.3862943611,0.6931471806,0.6931471806,1.7917594692,4.3820266347,3.4339872045,0,1.3862943611,2.3978952728,0,4.7361984484,0,0,2.8903717579,4.3694478525,2.4849066498,1.0986122887,6.88550967,1.6094379124,9.4237567675,33
147,1055.69984,126,3,25.404703,33877,16492,15,16444,1626.223736,0,0.877090301,0.805183946,0.6931471806,5.062595033,6.0890448754,4.1588830834,0,2.8903717579,5.7683209958,5.1532915945,5.2781146592,0,2.0794415417,0.6931471806,1.6094379124,0.6931471806,0.6931471806,1.3862943611,5.0238805208,3.4657359028,0,0,2.1972245773,0,4.8283137373,1.6094379124,0.6931471806,2.0794415417,4.6443908991,2.0794415417,1.0986122887,6.6093492432,3.1780538303,8.4508396909,33
148,1280.08256,153,3,14.575355,16130,8304,11,43198,12054.98154,0,0.567876678,0.307807061,1.3862943611,5.1647859739,6.1246833909,4.0775374439,0,2.0794415417,5.2781146592,4.9052747784,5.3981627015,0,1.9459101491,0.6931471806,1.7917594692,1.0986122887,1.3862943611,0,4.6913478822,5.062595033,1.3862943611,0,2.5649493575,0,5.1873858058,0.6931471806,0,2.7080502011,5.1647859739,2.1972245773,1.0986122887,6.3818160174,3.2188758249,9.2834978926,33
149,1240.1504,147,3,21.204495,15543,6940,11,60058,15254.00779,0,0.886437378,0.741726152,1.3862943611,5.6524891803,6.5694814204,4.4426512565,0,2.9957322736,5.8861040315,5.1119877884,5.6240175062,0,1.7917594692,0.6931471806,1.7917594692,1.0986122887,1.6094379124,0,4.9836066217,5.537334267,1.3862943611,0,2.8332133441,0,5.4680601411,0,0,3.6109179126,5.4764635519,2.6390573296,1.0986122887,6.9216581842,3.4011973817,8.7645219095,33
150,1183.24352,54,0,16.379392,10972,4594,11,44689,5698.559388,0,0.960784314,0.712418301,0,3.295836866,4.276666119,2.6390573296,0,1.3862943611,4.1743872699,1.6094379124,3.6109179126,0,0,0,1.0986122887,0,0,0,3.7612001157,2.0794415417,0,0,1.0986122887,0,3.4657359028,0,0,0.6931471806,3.6635616461,0.6931471806,0,5.1590552992,1.0986122887,10.222377552,33
152,1283.64352,128,5,25.167003,40866,24725,15,44689,23843.64263,0,0.12431843,0.718647764,1.6094379124,4.0073331852,5.1416635565,5.3890717298,0,2.6390573296,5.4889377262,3.9702919136,5.2149357576,0,0.6931471806,0,0,0.6931471806,0,1.6094379124,4.521788577,2.3978952728,0,0,1.6094379124,0,4.3820266347,0.6931471806,0,1.6094379124,4.1743872699,2.3978952728,1.0986122887,6.7487595475,0.6931471806,10.0398088,33
153,1327.11488,118,8,23.052968,33475,20128,19,60058,27907.88475,0,0.146415094,0.738867925,1.9459101491,4.0775374439,4.9904325868,5.257495372,0,2.1972245773,5.3518581335,3.9120230054,5.170483995,0,0,0,0,0.6931471806,1.0986122887,1.7917594692,4.4188406078,2.7725887222,0,0,2.4849066498,0,4.2341065046,1.0986122887,0,1.7917594692,4.1588830834,1.9459101491,0.6931471806,6.6385677892,1.7917594692,10.367693156,33
154,1300.19712,122,7,17.482307,22318,13421,15,43198,27907.88475,0,0.146713615,0.725352113,1.9459101491,3.9120230054,5.0689042022,5.3565862747,0,2.302585093,5.4249500175,4.0430512678,5.2781146592,0,0,0,0,0,1.0986122887,1.6094379124,4.3438054219,2.9957322736,0,0,2.7725887222,0,4.3307333403,0.6931471806,0,1.9459101491,4.3307333403,2.0794415417,1.0986122887,6.7650389768,1.9459101491,9.7456634673,33
156,1189.85344,187,6,29.352574,43543,28262,15,43198,35283.61217,0,0.149705635,0.779646762,1.9459101491,5.2311086169,6.595780514,5.3890717298,0,3.6375861597,6.1675164909,5.1590552992,6.1903154059,0,0.6931471806,0.6931471806,1.3862943611,1.3862943611,0,2.6390573296,5.0238805208,4.6728288345,1.3862943611,0.6931471806,1.9459101491,0,5.0562458053,1.0986122887,1.0986122887,3.4965075615,5.4161004022,3.0445224377,0.6931471806,7.7702232042,2.8332133441,10.44493937,33
157,1076.18496,124,3,22.853539,31496,21113,15,57123,21518.30555,0,0.203367876,0.876943005,0,3.7135720667,5.1590552992,3.7841896339,0,1.9459101491,5.2040066871,3.6635616461,5.3706380281,0,0,0,0,0,0,1.0986122887,4.127134385,2.8332133441,1.0986122887,0,1.3862943611,0,4.4659081187,0,0,2.0794415417,3.295836866,1.7917594692,0.6931471806,6.3578422665,1.3862943611,10.378820705,33
158,974.29696,174,3,16.416771,34235,16792,15,57123,25000.20527,0,0.205065359,0.828431373,1.3862943611,4.9052747784,6.2065759267,5.5909869805,0,3.0910424534,6.1569789856,4.4886363697,5.463831805,0,0,0,1.9459101491,0,1.0986122887,1.0986122887,5.1817835503,3.8501476017,0,0,2.302585093,0,4.6913478822,0,0,2.4849066498,5.2257466737,2.9444389792,0.6931471806,7.5948843872,2.0794415417,9.8469701097,33
159,790.45632,182,2,14.864136,27001,13624,9,31908,13396.79813,0,0.514993481,0.826597132,1.3862943611,5.2729995586,6.2085900261,5.6937321388,0,2.9957322736,6.0890448754,4.5108595065,5.1357984371,0,1.3862943611,0,1.0986122887,0.6931471806,0.6931471806,1.0986122887,5.1298987149,4.276666119,0.6931471806,0.6931471806,2.9957322736,0,5.081404365,1.0986122887,0,2.9957322736,4.9487598904,2.9444389792,1.0986122887,7.2477925818,2.7080502011,8.817445921,33
160,695.05856,178,3,14.326425,24293,12530,15,71551,23176.04412,0,0.615658363,0.676156584,1.9459101491,5.1929568509,6.2915691396,5.8141305318,0,2.7725887222,6.120297419,4.8520302639,5.1298987149,0,1.9459101491,0,1.6094379124,0,0.6931471806,1.6094379124,5.1474944768,4.6821312271,0.6931471806,0.6931471806,3.295836866,0,5.1474944768,1.0986122887,0,2.9444389792,4.9416424226,3.1354942159,1.0986122887,6.9603477291,3.1780538303,9.1648198567,33
162,1306.97088,138,3,20.302599,34453,16535,14,71551,15000.06226,0,0.50668037,0.765673176,2.0794415417,4.127134385,4.8751973232,4.8520302639,0,1.7917594692,5.3518581335,3.7376696183,4.7273878187,0,0,0,0,0.6931471806,0.6931471806,0.6931471806,4.0604430105,2.1972245773,0,0.6931471806,1.9459101491,0,3.8712010109,0.6931471806,0,1.3862943611,3.0910424534,1.3862943611,0.6931471806,6.0544393463,1.3862943611,9.2721877753,33
