time,open,high,low,close,volume
2022-11-07 20:00:00,380.03,381.11,380.01,380.83,118848
2022-11-07 19:00:00,379.71,380.04,379.38,379.95,79734
2022-11-07 18:00:00,379.61,379.82,379.45,379.71,67735
2022-11-07 17:00:00,379.94,380.04,379.44,379.68,8845748
2022-11-07 16:00:00,379.34,380.57,379.32,379.94,14645881
2022-11-07 15:00:00,377.92,380.0,377.92,379.33,8922574
2022-11-07 14:00:00,377.0,377.98,376.96,377.92,4837131
2022-11-07 13:00:00,376.21,377.37,375.81,377.01,5080847
2022-11-07 12:00:00,377.62,378.15,376.21,376.22,6214521
2022-11-07 11:00:00,376.11,378.39,376.01,377.6,10254578
2022-11-07 10:00:00,377.42,378.34,375.53,376.11,6432797
2022-11-07 09:00:00,378.78,378.82,374.5,377.32,792537
2022-11-07 08:00:00,378.22,378.85,377.61,377.9,324909
2022-11-07 07:00:00,378.35,378.85,378.18,378.28,76082
2022-11-07 06:00:00,377.1,378.35,377.06,378.27,63771
2022-11-07 05:00:00,375.0,377.89,375.0,377.05,66873
2022-11-04 20:00:00,375.87,376.0,375.67,376.0,22522
2022-11-04 19:00:00,375.81,376.15,375.58,375.88,33695
2022-11-04 18:00:00,375.63,376.35,375.5,375.9,136203
2022-11-04 17:00:00,376.34,376.82,375.42,375.61,13938318
2022-11-04 16:00:00,373.97,376.47,373.6,376.34,19704638
2022-11-04 15:00:00,370.77,374.2,370.0,373.96,9108620
2022-11-04 14:00:00,371.29,372.08,370.14,370.76,6697552
2022-11-04 13:00:00,370.98,373.01,370.07,371.28,10072203
2022-11-04 12:00:00,376.83,377.43,370.8,370.97,10906783
2022-11-04 11:00:00,375.11,378.87,371.16,376.8,15407298
2022-11-04 10:00:00,375.6,377.37,372.22,375.1,11347274
2022-11-04 09:00:00,373.92,375.77,368.99,375.64,3140096
2022-11-04 08:00:00,374.17,374.95,373.56,374.22,440505
2022-11-04 07:00:00,373.47,374.44,373.27,374.17,81545
2022-11-04 06:00:00,373.0,374.1,372.81,373.63,81385
2022-11-04 05:00:00,371.76,372.96,371.5,372.96,49489
2022-11-03 20:00:00,370.35,370.59,370.18,370.42,143646
2022-11-03 19:00:00,370.65,370.77,369.95,370.39,200476
2022-11-03 18:00:00,370.95,371.01,370.58,370.67,739881
2022-11-03 17:00:00,371.02,371.49,370.8,370.93,8004929
2022-11-03 16:00:00,373.52,373.62,370.92,371.02,12615408
2022-11-03 15:00:00,372.27,373.67,371.87,373.53,6838948
2022-11-03 14:00:00,373.87,374.05,372.24,372.26,7252294
2022-11-03 13:00:00,371.73,374.2,371.4,373.89,8953297
2022-11-03 12:00:00,373.49,373.69,371.02,371.72,10185072
2022-11-03 11:00:00,369.22,373.59,368.79,373.5,17472728
2022-11-03 10:00:00,371.2,372.25,369.04,369.17,11333329
2022-11-03 09:00:00,372.76,376.35,371.08,371.14,1155249
2022-11-03 08:00:00,372.94,372.98,371.83,372.19,446805
2022-11-03 07:00:00,374.62,374.62,372.44,372.95,125790
2022-11-03 06:00:00,374.6,375.0,373.76,374.26,75521
2022-11-03 05:00:00,375.05,375.77,373.98,374.6,116970
2022-11-02 20:00:00,374.22,374.35,373.8,374.08,139943
2022-11-02 19:00:00,374.84,375.16,373.88,374.28,240918
2022-11-02 18:00:00,374.93,375.02,374.8,374.8,722311
2022-11-02 17:00:00,374.87,382.19,374.16,374.95,8113669
2022-11-02 16:00:00,380.52,383.19,374.84,374.87,36264105
2022-11-02 15:00:00,383.33,388.63,378.96,380.49,44724202
2022-11-02 14:00:00,382.48,383.94,382.0,383.32,6137148
2022-11-02 13:00:00,382.7,382.88,381.39,382.48,6084622
2022-11-02 12:00:00,382.76,383.1,382.27,382.71,6354001
2022-11-02 11:00:00,382.44,383.12,382.11,382.75,7723521
2022-11-02 10:00:00,384.17,384.37,382.41,382.44,6802527
2022-11-02 09:00:00,385.08,385.97,383.54,384.17,707709
2022-11-02 08:00:00,384.54,385.16,384.36,385.08,96024
2022-11-02 07:00:00,385.05,385.05,384.25,384.57,51324
2022-11-02 06:00:00,385.72,385.9,384.62,384.78,8736
2022-11-02 05:00:00,385.05,386.14,385.05,385.7,29735
2022-11-01 20:00:00,384.62,384.87,384.36,384.49,149012
2022-11-01 19:00:00,384.22,384.65,384.22,384.6,75262
2022-11-01 18:00:00,384.2,384.52,384.12,384.16,48603
2022-11-01 17:00:00,384.54,384.89,383.6,384.23,7911830
2022-11-01 16:00:00,385.39,385.8,384.48,384.53,15003120
2022-11-01 15:00:00,385.08,385.55,384.27,385.39,6330554
2022-11-01 14:00:00,384.73,385.45,384.27,385.09,6995163
2022-11-01 13:00:00,384.53,386.02,383.97,384.73,10670094
2022-11-01 12:00:00,384.01,384.82,383.29,384.54,9993721
2022-11-01 11:00:00,388.12,388.4,383.58,384.01,16017660
2022-11-01 10:00:00,390.36,390.45,387.74,388.04,9237788
2022-11-01 09:00:00,389.56,390.73,387.6,390.35,690689
2022-11-01 08:00:00,389.86,390.18,389.45,389.98,278992
2022-11-01 07:00:00,389.63,390.15,389.35,390.04,92446
2022-11-01 06:00:00,389.2,389.62,388.68,389.51,76528
2022-11-01 05:00:00,388.37,389.76,388.01,389.22,82772
2022-10-31 20:00:00,386.56,387.0,386.4,386.79,80006
2022-10-31 19:00:00,386.26,386.7,386.11,386.46,118460
2022-10-31 18:00:00,386.37,386.37,385.98,386.26,155860
2022-10-31 17:00:00,386.22,386.63,385.91,386.23,12745497
2022-10-31 16:00:00,386.87,387.45,385.52,386.21,29344801
2022-10-31 15:00:00,387.07,387.72,386.52,386.84,8560535
2022-10-31 14:00:00,386.25,387.59,385.81,387.07,5844428
2022-10-31 13:00:00,387.09,388.0,385.78,386.25,7088029
2022-10-31 12:00:00,386.12,388.4,386.04,387.08,10649274
2022-10-31 11:00:00,385.48,386.92,385.26,386.12,9593282
2022-10-31 10:00:00,386.94,387.47,385.47,385.47,8678745
2022-10-31 09:00:00,387.84,388.78,386.53,386.97,616426
2022-10-31 08:00:00,387.35,388.23,387.34,387.57,332473
2022-10-31 07:00:00,387.01,387.43,386.8,387.33,80463
2022-10-31 06:00:00,386.83,387.5,386.53,387.1,39077
2022-10-31 05:00:00,388.8,389.45,386.42,386.9,218176
2022-10-28 20:00:00,389.99,390.23,389.5,390.2,46045
2022-10-28 19:00:00,389.71,390.07,389.63,389.9,65441
2022-10-28 18:00:00,390.12,390.2,389.7,389.7,541787
2022-10-28 17:00:00,388.94,390.28,388.9,390.15,11659414
2022-10-28 16:00:00,388.86,389.52,388.21,388.97,19805992
2022-10-28 15:00:00,387.52,389.04,387.21,388.84,10758337
2022-10-28 14:00:00,387.16,388.08,387.04,387.52,8497216
2022-10-28 13:00:00,385.76,387.42,385.01,387.15,9446853
2022-10-28 12:00:00,385.72,386.29,384.85,385.77,10889771
2022-10-28 11:00:00,382.57,385.83,380.96,385.72,13927336
2022-10-28 10:00:00,378.67,383.36,378.42,382.52,9454498
2022-10-28 09:00:00,377.82,380.78,376.0,378.67,2052569
2022-10-28 08:00:00,377.82,378.57,377.16,378.1,309952
2022-10-28 07:00:00,377.65,377.97,377.22,377.68,80656
2022-10-28 06:00:00,377.19,377.69,376.5,377.65,97426
2022-10-28 05:00:00,376.33,377.5,376.0,377.23,57819
2022-10-27 20:00:00,377.9,378.21,377.39,377.5,159203
2022-10-27 19:00:00,377.8,378.63,377.5,377.85,184677
2022-10-27 18:00:00,377.25,379.98,376.0,377.8,1049337
2022-10-27 17:00:00,379.95,380.32,373.8,377.13,8302935
2022-10-27 16:00:00,380.13,381.33,379.33,379.96,16106624
2022-10-27 15:00:00,380.78,381.06,379.81,380.13,8716643
2022-10-27 14:00:00,381.56,382.77,380.73,380.78,8105105
2022-10-27 13:00:00,381.39,382.42,380.13,381.54,8040285
2022-10-27 12:00:00,382.18,383.46,380.89,381.35,8419791
2022-10-27 11:00:00,381.2,385.0,380.83,382.19,11694801
2022-10-27 10:00:00,383.54,384.5,380.52,381.2,8125209
2022-10-27 09:00:00,381.83,384.21,381.34,383.5,1523015
2022-10-27 08:00:00,381.83,382.58,381.43,381.66,228232
2022-10-27 07:00:00,382.11,382.48,381.7,381.73,87166
2022-10-27 06:00:00,383.01,383.09,382.11,382.13,108262
2022-10-27 05:00:00,382.8,383.76,382.55,383.2,76283
2022-10-26 20:00:00,383.05,384.04,383.0,383.86,137393
2022-10-26 19:00:00,382.55,383.08,382.02,382.95,240062
2022-10-26 18:00:00,383.17,383.17,382.02,382.55,1078453
2022-10-26 17:00:00,382.06,383.56,381.91,383.17,8160601
2022-10-26 16:00:00,382.4,383.01,381.47,382.08,24003902
2022-10-26 15:00:00,383.78,384.34,381.97,382.41,10537737
2022-10-26 14:00:00,384.33,384.45,382.72,383.78,11164437
2022-10-26 13:00:00,386.81,387.24,384.05,384.34,9275209
2022-10-26 12:00:00,385.03,387.58,385.03,386.82,11691360
2022-10-26 11:00:00,381.72,385.95,381.72,385.04,16762804
2022-10-26 10:00:00,381.63,383.15,381.35,381.69,8760738
2022-10-26 09:00:00,382.48,383.27,381.06,381.7,640669
2022-10-26 08:00:00,382.53,383.27,381.77,382.03,371545
